location,average_rating,latitude,longitude
"Essex Junction, VT",3.5,44.4905433,-73.11122069999999
"Eugene, OR",3.9401368055555555,44.0520691,-123.0867536
"Eureka, CA",4.434,40.8020712,-124.1636729
"Evanston, IL",3.3,42.0450722,-87.68769689999999
"Fairfax, VA",4.103920454545454,38.84622359999999,-77.30637329999999
"Florence, Italy",3.9231,43.7695604,11.2558136
"Fort Collins, CO",3.426288157894737,40.5852602,-105.084423
"Fort Worth, TX",3.3226,32.7554883,-97.3307658
"Freetown Christiana, Copenhagen, Denmark",4.037622807017544,55.67604249999999,12.6081154
"Gainesville, FL",3.7946814814814815,29.6516344,-82.32482619999999
"Geneseo, NY",4.1905,42.795896,-77.816947
"Geneva, NY",3.33975,42.8679836,-76.985557
"George, WA",4.055846925566343,47.0790224,-119.8558822
"Glens Falls, NY",4.48306,43.3095164,-73.6440058
"Glenside, PA",3.6111,40.0999077,-75.1527928
"Goleta, CA",4.0769,34.4358294,-119.8276389
"Grand Prairie, TX",3.289986567164179,32.7459645,-96.99778459999999
"Grand Rapids, MI",4.073849382716049,42.9633599,-85.6680863
"Granville, OH",3.5714,40.06811920000001,-82.51960369999999
"Greenfield, MA",3,42.587915,-72.5994104
"Greensboro, NC",4.2524,36.0726354,-79.7919754
"Greenville, SC",3.7027,34.85261759999999,-82.3940104
"Gunnison, CO",4.2241,38.5458246,-106.9253207
"Hamburg, Germany",3.8748589285714288,53.5510846,9.9936818
"Hamilton, NY",3.7917,42.8270136,-75.5446238
"Hampton Beach, NH",3.1667,42.9113098,-70.81348179999999
"Hampton, VA",3.78096576819407,37.0298687,-76.34522179999999
"Hanover, NH",3.342324,43.7022451,-72.2895526
"Hartford, CT",4.037581818181818,41.76371109999999,-72.6850932
"Haverford, PA",3.25,40.0022406,-75.3208107
"Hebron, NY",4.420068,43.2672574,-73.3472901
"Hershey, PA",4.1051549295774645,40.2859239,-76.65024679999999
"Hinesburg, VT",3.3636,44.3292199,-73.11067899999999
"Hoffman Estates, IL",3.5556,42.0629915,-88.12271989999999
"Hollywood, CA",3.5739711340206184,34.0928092,-118.3286614
"Holmdel, NJ",3.9522253246753247,40.3451095,-74.18403219999999
"Houston, TX",3.4286,29.7604267,-95.3698028
"Indianapolis, IN",4.369922222222222,39.768403,-86.158068
"Indio, CA",3.9656685714285715,33.7205771,-116.2155619
"Inglewood, CA",3.565259756097561,33.9616801,-118.3531311
"Iowa City, IA",3.8333,41.6611277,-91.5301683
"Irvine, CA",3.3266705882352943,33.6839473,-117.7946942
"Isla Vista, CA",4.5934,34.4133292,-119.8609718
"Ithaca, NY",3.6089937500000002,42.4439614,-76.5018807
"Jacksonville, FL",3.768,30.3321838,-81.65565099999999
"Johnson, VT",2.6667,44.6355825,-72.6803603
"Kalamazoo, MI",3.8822916666666667,42.2917069,-85.5872286
"Kansas City, KS",4.162213846153846,39.114053,-94.6274636
"Kansas City, MO",3.7686858974358977,39.0997265,-94.5785667
"Keene, NH",3.6397902702702702,42.933692,-72.2781409
"Kent, OH",4.6429,41.1536674,-81.3578859
"Killington, VT",3.1429,43.619801,-72.8027099
"Knoxville, TN",3.6527040322580646,35.9606384,-83.9207392
"Koto-ku, Tokyo, Japan",3.8326285714285713,35.6728535,139.8174097
"Lake Placid, NY",3.4983783333333336,44.2794911,-73.9798713
"Lancaster, PA",3.3,40.0378755,-76.3055144
"Landover, MD",3.70044,38.9340002,-76.8966397
"Las Cruces, NM",4.3088,32.3199396,-106.7636538
"Las Vegas, NV",4.1008933333333335,36.1699412,-115.1398296
"Lawrence, KS",3,38.9716689,-95.2352501
"Lenox, MA",3.6842,42.35646089999999,-73.2848762
"Lewiston, ME",3.190576666666667,44.100351,-70.21477639999999
"Lexington, KY",4.5761,38.0405837,-84.5037164
"Lexington, VA",3.7143,37.78402080000001,-79.4428157
"Lille, France",4.3214,50.62925,3.057256
"Limestone, ME",4.570948837209302,46.90860230000001,-67.825816
"Lincoln, NE",4.5354,40.8257625,-96.6851982
"London, England",3.0257698412698413,51.5073509,-0.1277583
"Long Beach, CA",4.3254,33.7700504,-118.1937395
"Los Angeles, CA",3.533343410852713,34.0522342,-118.2436849
"Louisville, KY",3.9943288659793814,38.2526647,-85.7584557
"Lowell, MA",4.1746,42.6334247,-71.31617179999999
"Lyon/Villeurbanne, France",4.3462,45.782383,4.890205
"Madison, WI",3.809089247311828,43.0730517,-89.4012302
"Manchester, NH",4.5404,42.9956397,-71.4547891
"Manchester, TN",3.1650742857142857,35.4817431,-86.0885993
"Mansfield, MA",3.8141259493670887,42.03345650000001,-71.2190578
"Marseilles, France",4.3684,43.296482,5.36978
"Maryland Heights, MO",3.6724918032786884,38.7131073,-90.42984009999999
"Medford, MA",1.2,42.4184296,-71.1061639
"Memphis, TN",4.2237168674698795,35.1495343,-90.0489801
"Mesa, AZ",4.3902,33.4151843,-111.8314724
"Miami Beach, FL",4.0435,25.790654,-80.1300455
"Miami, FL",3.882856597222222,25.7616798,-80.1917902
"Middlebury, VT",3.2308,44.015337100000004,-73.16734
"Middletown, CT",3,41.5623209,-72.6506488
"Middletown, NY",2.5,41.4459271,-74.42293409999999
"Milan, Italy",3.0516225806451613,45.4654219,9.1859243
"Milwaukee, WI",4.03438813559322,43.0389025,-87.9064736
"Minneapolis, MN",3.8528810975609757,44.977753,-93.2650108
"Missoula, MT",3.2121,46.87871759999999,-113.996586
"Mont Alto, PA",3,39.8442593,-77.55832319999999
"Monterey, CA",4.093810294117647,36.6002378,-121.8946761
"MontrÃ©al, QuÃ©bec, Canada",4.033267777777778,45.5016889,-73.567256
"Morrison, CO",3.9306,39.6535988,-105.1910996
"Mountain View, CA",3.8073756637168144,37.3860517,-122.0838511
"Munich, Germany",2.4571,48.1351253,11.5819806
"Murfreesboro, TN",3.5435,35.8456213,-86.39027
"NÃ¼remberg, Germany",3.318425,49.4254092,11.0796553
"Naka-ku, Nagoya, Japan",3.75,35.1687066,136.9102506
"Nashville, TN",4.206102459016393,36.1626638,-86.7816016
"New Britain, CT",3.5244615384615385,41.6612104,-72.7795419
"New Brunswick, NJ",4.2619,40.4862157,-74.4518188
"New Haven, CT",3.925058579881657,41.308274,-72.9278835
"New Orleans, LA",3.8073810185185186,29.95106579999999,-90.0715323
"New York, NY",3.955366642174871,40.7127837,-74.0059413
"Newark, DE",3.583927659574468,39.6837226,-75.74965720000002
"Newmarket, NH",2.9376193548387097,43.0828551,-70.9350382
"Niagara Falls, NY",4.6781,43.0962143,-79.0377388
"Nice, France",2.5556,43.7101728,7.261953200000001
"Niigata, Japan",3.407717741935484,37.9161924,139.0364126
"Noblesville, IN",4.108371136363636,40.0455917,-86.0085955
"Norfolk, VA",2.2143,36.8507689,-76.28587259999999
"Normal, IL",3.5556,40.5142026,-88.9906312
"North Charleston, SC",3.7692305970149254,32.8546197,-79.9748103
"North Fayston, VT",4.3012859375,44.2420023,-72.8381728
"North Tonawanda, NY",3.92,43.038668,-78.8642033
"Northampton, MA",3.1495610000000003,42.3250896,-72.64120129999999
"Northeim, Germany",2.5,51.7001785,9.9959057
"Northfield, MA",2.75,42.6959093,-72.4528885
"Northfield, MN",3.4375,44.4582983,-93.161604
"Notre Dame, IN",2.6667,41.7055716,-86.2353388
"Oberlin, OH",3.1343975,41.2939386,-82.21737859999999
"Oklahoma City, OK",2.7763,35.4675602,-97.5164276
"Old Orchard Beach, ME",4.4091,43.5177659,-70.3772911
"Olympia, WA",4.078005128205128,47.0378741,-122.9006951
"Omaha, NE",4.4694,41.2523634,-95.99798829999999
"Orange Beach, AL US",3.8298,30.2697033,-87.5867598
"Orlando, FL",4.1047955555555555,28.5383355,-81.3792365
"Orono, ME",3.1111,44.8831125,-68.6719411
"Ottawa, Ontario, Canada",4.2,45.4215296,-75.69719309999999
"Oxford, MS",3.7308,34.3664951,-89.5192484
"Palo Alto, CA",4.5,37.4418834,-122.1430195
"Paris, France",3.105366666666667,48.856614,2.3522219
"Park City, UT",3.4474,40.6460622,-111.4979729
"Parksville, NY",4.2424,41.8553669,-74.7596049
"Patterson, NY",4.6593,41.513264,-73.60482879999999
"Pelham, AL",3.875196590909091,33.2856687,-86.8099885
"Philadelphia, PA",3.840275687103594,39.9525839,-75.1652215
"Phoenix, AZ",3.6078434782608695,33.4483771,-112.0740373
"Pistoia, Italy",3.2308,43.9303475,10.9078587
"Pittsburgh, PA",3.639364761904762,40.44062479999999,-79.9958864
"Plainfield, VT",3.8112992805755392,44.2781151,-72.4264926
"Plattsburgh, NY",4.150554430379747,44.6994873,-73.4529124
"Plymouth, NH",3.7273,43.7570196,-71.6881528
"Pontiac, MI",2.9167,42.6389216,-83.29104679999999
"Port Chester, NY",4.027741818181818,41.0017643,-73.66568339999999
"Portland, ME",3.7813330543933055,43.66147100000001,-70.2553259
"Portland, OR",3.925722457627119,45.5230622,-122.6764816
"Portsmouth, NH",4.05795376344086,43.0717552,-70.7625532
"Portsmouth, VA",3.6824592857142857,36.8354258,-76.2982742
"Potsdam, NY",3.2500428571428572,44.6697805,-74.9813084
"Poughkeepsie, NY",3.7142272727272725,41.7003713,-73.9209701
"Poultney, VT",2.9091,43.5170325,-73.2362261
"Prague, Czech Republic",3.896257142857143,50.0755381,14.4378005
"Prescott, AZ",4.1765,34.5400242,-112.4685025
"Providence, RI",3.8507457680250785,41.8239891,-71.4128343
"Raleigh, NC",3.749607582938389,35.7795897,-78.6381787
"Reading, PA",4.5514,40.3356483,-75.9268747
"Redlands, CA",3.9545,34.0555693,-117.1825381
"Richmond, IN",3.6,39.8289369,-84.8902382
"Richmond, VA",3.755464406779661,37.5407246,-77.4360481
"Ringe, Fyn, Denmark",2.8,55.2361467,10.4796902
"Riviera Maya, Quintana Roo Mexico",4.036368965517242,20.5536295,-87.1670412
"Rochester Hills, MI",3.93595,42.65836609999999,-83.1499322
"Rochester, NY",3.413786923076923,43.16103,-77.6109219
"Rome, Italy",2.989092,41.9027835,12.4963655
"Rosemont, IL",4.112966336633663,41.98675069999999,-87.8721602
"Roskilde, Denmark",3.02664,55.64191,12.087845
"Rutland, VT",4.2,43.6106237,-72.9726065
"Sacramento, CA",4.0112246913580245,38.5815719,-121.4943996
"Salem, OR",4.4494,44.9428975,-123.0350963
"Salisbury, CT",3.6364,41.983426,-73.4212318
"Salt Lake City, UT",3.9527396825396828,40.7607793,-111.8910474
"San Diego, CA",3.5521494949494947,32.715738,-117.1610838
"San Francisco, CA",3.932733786407767,37.7749295,-122.4194155
"San Jose, CA",3.9714,37.3382082,-121.8863286
"San Juan Capistrano, CA",4,33.5016932,-117.6625509
"Santa Barbara, CA",3.7061892307692306,34.4208305,-119.6981901
"Santa Cruz, CA",3.760919318181818,36.9741171,-122.0307963
"Santa Fe, NM",3.864292307692308,35.6869752,-105.937799
"Santa Monica, CA",4.1304,34.0194543,-118.4911912
"Santa Rosa, CA",3.7059,38.440429,-122.7140548
"Saratoga Springs, NY",3.8827725663716812,43.0831301,-73.7845651
"Sayreville, NJ",3.5,40.45940210000001,-74.360846
"Scheessel, Germany",3.1667,53.1697267,9.4870781
"Schenectady, NY",4.4545,42.8142432,-73.9395687
"Seattle, WA",3.4907266304347826,47.6062095,-122.3320708
"Sesto Calende, Italy",3.125,45.7307015,8.636597199999999
"Shibuya-ku, Tokyo, Japan",4.0476,35.6617773,139.7040506
"Somerset, England",2,51.105097,-2.9262307
"Somerville, MA",3.72127012987013,42.3875968,-71.0994968
"South Burlington, VT",4.216586842105263,44.4669941,-73.1709604
"Spartanburg, SC",4.5806,34.9495672,-81.9320482
"Spokane, WA",3.5813800000000002,47.6587802,-117.4260466
"Springfield, MA",4.3333,42.1014831,-72.589811
"St. Goarshausen, Koblenz, Germany",3.4048,50.3507604,7.589256000000001
"St. Louis, MO",3.9760657608695653,38.6270025,-90.19940419999999
"St. Paul, MN",3.6939228571428573,44.9537029,-93.0899578
"St. Petersburg, FL",3.8667,27.7518284,-82.6267345
"Stanhope, NJ",4.009436585365854,40.9028765,-74.7090517
"State College, PA",3.6833807017543863,40.7933949,-77.8600012
"Stateline, NV",3.864350588235294,38.9624079,-119.9399029
"Steamboat Springs, CO",3.4859574468085106,40.4849769,-106.8317158
"Stearns, VT",4.051282051282051,43.6529402,-72.3169982
"Stony Brook, NY",4.2069,40.9256538,-73.1409429
"Stowe, VT",3.5863133333333335,44.4654332,-72.6874023
"Strasbourg, France",3.6667,48.5734053,7.752111299999999
"Stuttgart, Germany",2.9,48.7758459,9.1829321
"Sunrise, FL",3.8182,26.1669711,-80.25659499999999
"Syracuse, NY",3.5775390625,43.0481221,-76.14742439999999
"Tallahassee, FL",3.6387386363636365,30.4382559,-84.28073289999999
"Tampa, FL",3.875176811594203,27.950575,-82.4571776
"Telluride, CO",3.6870389261744965,37.9374939,-107.8122852
"Tempe, AZ",3.96992380952381,33.4255104,-111.9400054
"The Woodlands, TX",3.5527848484848485,30.1658207,-95.46126249999999
"Tinley Park, IL",4.17954081632653,41.5731442,-87.7932939
"Toronto, Ontario, Canada",3.8510620437956202,43.653226,-79.3831843
"Townshend, VT",4.323532098765432,43.0472267,-72.6678428
"Trento, Italy",2.9444,46.0747793,11.1217486
"Tucson, AZ",3.619188524590164,32.2217429,-110.926479
"Tuscaloosa, AL",4.054271929824561,33.2098407,-87.56917349999999
"Underhill, VT",4.3571,44.5258842,-72.9451267
"Uniondale, NY",4.108881904761905,40.7003793,-73.5929056
"Upper Darby, PA",3.70315,39.957902,-75.3076883
"Utica, NY",4.4511,43.100903,-75.232664
"Vail, CO",3.8846,39.6402638,-106.3741955
"Vancouver, British Columbia Canada",3.3939,49.2827291,-123.1207375
"Vancouver, British Columbia, Canada",4.112332323232323,49.2827291,-123.1207375
"Ventura, CA",4.0221406250000005,34.274646,-119.2290316
"Vernon, NY",4.4407,43.0795135,-75.5393442
"Vienna, Austria",3.5,48.2081743,16.3738189
"Vienna, VA",3.7241,38.9012225,-77.2652604
"Vienne, France",2.8462,45.525587,4.874339
"Virginia Beach, VA",4.180588888888889,36.8529263,-75.97798499999999
"Volney, NY",4.4355652173913045,43.3428464,-76.3577116
"Waitsfield, VT",2.5917791666666665,44.1926386,-72.7798479
"Wantagh, NY",3.6984814126394054,40.6837121,-73.5101258
"Washington, DC",3.4897116822429908,38.9071923,-77.0368707
"Waterville, ME",3.4,44.5520105,-69.6317121
"Watkins Glen, NY",4.480305649717514,42.3806287,-76.8732921
"Weedsport, NY",4.0714,43.048677,-76.5627197
"West Hartford, CT",3.4667,41.7620842,-72.7420151
"West Palm Beach, FL",3.7867,26.7153424,-80.0533746
"West Valley City, UT",4.56011,40.6916132,-112.0010501
"Williamstown, MA",2.25,42.7120196,-73.20368979999999
"Winooski, VT",2,44.491438,-73.1856832
"Winston-Salem, NC",3.9619539682539684,36.09985959999999,-80.244216
"Woodbury, CT",4.1714,41.5445404,-73.2090025
"Woodstock, NY",3.4222,42.0409247,-74.1181971
"Worcester, MA",4.318819161676647,42.2625932,-71.8022934
"Worcestor, MA",4.4375,42.2625932,-71.8022934
